mlb_ID,seasons_bat,career_PA,avg_offense,total_bat_war,peak_bat_war,seasons_pitch,career_GS,avg_era_plus,total_pitch_war,peak_pitch_war,hof_indicator
118667,2,23,-0.8999999999999999,-0.2,-0.05,2,6,45.9570564516129,-1.0699999999999998,-0.35,0
118668,1,15,-2.3,-0.21,-0.21,0,0,0,0,0,0
118669,3,135,-2.966666666666667,-0.93,0.1,0,0,0,0,0,0
118670,1,50,-3.4,-0.24,-0.24,0,0,0,0,0,0
118671,2,117,-0.46666666666666673,-0.13,-0.02,2,35,142.65161064425772,-0.42999999999999994,0.31,0
118672,5,325,-1.1285714285714286,-0.82,0.16,5,96,84.77202150780487,1.06,1.42,0
118673,1,14,-0.9,-0.07,-0.07,1,1,25.5,-0.39,-0.39,0
118674,14,3378,4.426666666666666,20.75,4,0,0,0,0,0,0
118675,5,1496,0.7166666666666668,5.68,3.14,0,0,0,0,0,0
118676,1,11,-2,-0.2,-0.2,0,0,0,0,0,0
118677,2,21,-2.4,-0.41,-0.12,2,5,82.6175,-0.12,0.18,0
118678,5,316,-1.56,-0.42,0.45,0,0,0,0,0,0
118679,2,44,0.95,0.16999999999999998,0.12,2,14,223.37232142857147,0,0.52,0
118680,11,144,-0.8307692307692308,-1.19,0.05,11,62,108.86358236670736,11.49,3.47,0
118681,2,285,-7.6,-1.03,-0.38,0,0,0,0,0,0
118682,2,62,-1.25,-0.33,-0.02,0,0,0,0,0,0
118683,1,82,1.2,0.14,0.14,0,0,0,0,0,0
118684,12,6047,6.95,33.97,5.23,0,0,0,0,0,0
118685,10,3482,-10.218181818181819,1.43,1.63,0,0,0,0,0,0
118686,1,4,-1.2,-0.11,-0.11,0,0,0,0,0,0
118687,1,4,-0.1,0.01,0.01,0,0,0,0,0,0
118688,6,2530,-18.2125,-4.97,0.11,3,0,40.625,-0.93,-0.14,0
118689,11,2507,0.02499999999999993,10.95,2.19,0,0,0,0,0,0
118690,1,26,-2.8,-0.21,-0.21,0,0,0,0,0,0
118691,1,3,-1,-0.08,-0.08,0,0,0,0,0,0
118692,2,226,-6.233333333333333,-1.08,-0.1,0,0,0,0,0,0
118693,8,297,-0.5222222222222223,-0.5700000000000001,0.26,8,102,137.4421891825499,8.700000000000001,3.56,0
118694,18,8188,4.021052631578947,34.23,8.17,0,0,0,0,0,0
118695,1,6,-1,-0.1,-0.1,1,0,71.2,0.08,0.08,0
118696,1,9,-0.8,-0.06,-0.06,0,0,0,0,0,0
118697,1,0,0,0,0,1,0,76.7181818181818,-0.02,-0.02,0
118698,1,0,0,0,0,1,1,0,0,0,0
118699,4,570,-4.26,-0.3,0.22,0,0,0,0,0,0
118700,2,583,-6.1,0.33,0.32,0,0,0,0,0,0
118701,2,0,0,0,0,2,0,87.77916666666665,-0.51,-0.09,0
118702,1,9,-1.3,-0.16,-0.16,1,2,74.8714285714286,0.04,0.04,0
118703,7,580,1.2125,0.77,0.23,7,148,94.4862433726255,10.9,5.36,0
118704,1,0,0,0,0,1,0,27.55,-0.11,-0.11,0
118705,1,2,-0.4,0,0,0,0,0,0,0,0
118706,2,12,-0.25,-0.06,0.05,2,4,79.79499999999999,0.36000000000000004,0.65,0
118707,2,223,-0.033333333333333215,0.21000000000000005,0.93,0,0,0,0,0,0
118708,5,94,-0.11999999999999997,-0.030000000000000027,0.15,5,28,71.02226156534292,-3.9299999999999997,0.83,0
118709,1,4,-1.2,-0.1,-0.1,0,0,0,0,0,0
118710,1,49,0.8500000000000001,0.13,0.21,1,9,99.7215277777778,0.47000000000000003,0.88,0
118711,6,749,-1.2142857142857142,-0.8,0.02,6,186,105.5373320212606,9.58,6.25,0
118712,2,42,-0.65,-0.27,-0.04,0,0,0,0,0,0
118713,10,1414,-2.5727272727272728,-2.9099999999999997,0.52,10,381,122.44388417025301,61.94,12.19,0
118714,3,325,-3.066666666666667,-1.15,-0.02,0,0,0,0,0,0
118715,11,506,0.18461538461538468,0.26,0.3,11,201,86.75850904180382,14.1,4.92,0
118716,2,3,-0.25,-0.05,0,2,0,63.91666666666665,-0.01999999999999999,0.07,0
118717,9,433,0.06999999999999998,-0.009999999999999988,0.27,9,201,92.42603238385739,6.2700000000000005,3.36,0
118718,3,183,0.19999999999999998,0.04000000000000002,0.27,3,51,87.08941939286767,2.04,1.31,0
118719,1,46,-2.9,-0.41,-0.41,0,0,0,0,0,0
118720,5,1427,-8.7,2.1,1.77,0,0,0,0,0,0
118721,1,1,-0.2,-0.02,-0.02,1,0,59.3666666666667,-0.03,-0.03,0
118722,1,8,0.4,0.04,0.04,1,0,48.4933333333333,-0.46,-0.46,0
118723,1,0,0,0,0,1,0,0,0.05,0.05,0
118724,19,247,0.4052631578947368,0.8300000000000001,0.4,19,39,125.13029720490277,20.97,4.63,0
118725,1,0,0,0,0,1,0,0,0.1,0.1,0
118726,17,4946,19.561111111111114,45.65,7.99,0,0,0,0,0,0
118727,9,199,-0.7999999999999999,-0.9400000000000001,0.02,9,47,99.48020146156843,-1.8699999999999999,0.77,0
118728,13,0,-0.007692307692307693,-0.01,-0.01,13,309,94.8193613353012,20.21,5.3,0
118729,3,10,-0.7000000000000001,-0.2,-0.02,3,2,53.02326007326007,-0.51,-0.11,0
118730,19,10174,10.871428571428572,52.58,6.63,0,0,0,0,0,1
118731,6,367,-2.442857142857143,-0.64,0.17,0,0,0,0,0,0
118732,1,3,-0.8,-0.07,-0.07,0,0,0,0,0,0
118733,1,44,-5.4,-0.21,-0.21,0,0,0,0,0,0
118734,3,280,-0.39999999999999997,-0.16,0.19,0,0,0,0,0,0
118735,1,4,-0.3,-0.02,-0.02,1,0,54.6857142857143,-0.16,-0.16,0
118736,6,731,-8.066666666666666,-2.34,0.37,0,0,0,0,0,0
118737,1,69,-4.2,-0.31,-0.31,0,0,0,0,0,0
118738,26,6944,3.6548387096774193,24.71,4.96,1,0,58.9,-0.17,-0.17,0
118739,2,21,-1.2,-0.32,-0.08,0,0,0,0,0,0
118740,2,79,2.65,0.63,0.65,2,12,60.113888888888894,-2.23,-0.1,0
118741,2,50,-1.2,-0.19,-0.08,0,0,0,0,0,0
118742,3,207,-5.05,-1.05,-0.04,2,18,86.80785714285716,2.02,1.32,0
118743,16,7660,24.28235294117647,62.14,7.49,0,0,0,0,0,0
118744,1,77,-1.3,0,0,0,0,0,0,0,0
118745,5,125,-2,-0.66,-0.14,0,0,0,0,0,0
118746,6,125,0.057142857142857155,0.049999999999999996,0.23,6,44,73.58028428939143,0.33999999999999986,1.47,0
118747,1,38,-2.7,-0.21,-0.21,0,0,0,0,0,0
118748,5,2143,5.12,10.1,5.11,0,0,0,0,0,0
118749,2,22,-1.15,-0.39999999999999997,-0.11,0,0,0,0,0,0
118750,1,0,0,0,0,1,0,62.7,-0.01,-0.01,0
118751,3,198,-1.9333333333333333,-0.009999999999999995,0.08,1,1,37.2,-0.27,-0.27,0
118752,2,1,-0.1,-0.02,0,2,1,179.5,0.13,0.1,0
118753,19,8628,-0.8315789473684211,34.699999999999996,5.71,0,0,0,0,0,0
118754,9,663,2.5666666666666664,2.55,0.57,9,188,77.61762624865611,6.38,2.96,0
118755,2,71,0.5,0.11000000000000001,0.32,2,33,97.14,1.78,1.46,0
118756,5,124,-1.9666666666666668,-1.1900000000000002,0.05,0,0,0,0,0,0
